Training tokens: 100,000,000
Total steps: 12,207
Train token file: /root/autodl-tmp/data/openwebtext/openwebtext_train_tokens.npy
Valid token file: /root/autodl-tmp/data/openwebtext/openwebtext_valid_tokens.npy
Metrics JSON file: /root/autodl-tmp/data/openwebtext/metrics/dense_baseline_metrics.json
step=1060/12207 loss=5.8982, val_loss=5.8868 lr=2.604e-04 tok/s=10553.2 max_mem=9.34GB
step=1080/12207 loss=5.7898, val_loss=5.8297 lr=2.653e-04 tok/s=10599.5 max_mem=9.34GB
step=1100/12207 loss=5.9346, val_loss=5.8928 lr=2.702e-04 tok/s=10535.4 max_mem=9.34GB
step=1120/12207 loss=5.7732, val_loss=5.8098 lr=2.752e-04 tok/s=10600.0 max_mem=9.34GB
step=1140/12207 loss=5.9023, val_loss=5.7817 lr=2.801e-04 tok/s=10457.4 max_mem=9.34GB
step=1160/12207 loss=5.7409, val_loss=5.8183 lr=2.850e-04 tok/s=10618.6 max_mem=9.34GB
step=1180/12207 loss=5.8131, val_loss=5.7491 lr=2.899e-04 tok/s=10499.8 max_mem=9.34GB
step=1200/12207 loss=5.8832, val_loss=5.7417 lr=2.948e-04 tok/s=10520.3 max_mem=9.34GB
step=1220/12207 loss=5.5472, val_loss=5.7672 lr=2.998e-04 tok/s=10502.7 max_mem=9.34GB
step=1240/12207 loss=5.4938, val_loss=5.6975 lr=3.000e-04 tok/s=10517.1 max_mem=9.34GB
step=1260/12207 loss=5.8933, val_loss=5.6877 lr=3.000e-04 tok/s=10678.2 max_mem=9.34GB
step=1280/12207 loss=5.7802, val_loss=5.7119 lr=3.000e-04 tok/s=10566.5 max_mem=9.34GB
step=1300/12207 loss=5.6374, val_loss=5.6762 lr=3.000e-04 tok/s=10606.5 max_mem=9.34GB
step=1320/12207 loss=5.5215, val_loss=5.6073 lr=2.999e-04 tok/s=10631.5 max_mem=9.34GB
step=1340/12207 loss=5.6319, val_loss=5.6291 lr=2.999e-04 tok/s=10538.8 max_mem=9.34GB
step=1360/12207 loss=5.7074, val_loss=5.6094 lr=2.999e-04 tok/s=10518.8 max_mem=9.34GB
step=1380/12207 loss=5.8141, val_loss=5.6504 lr=2.999e-04 tok/s=10552.4 max_mem=9.34GB
